Ticket ID,Device,Reported Issue,Event feed / Comments / Conclusions,Completed works
IT-13070,Apple 12,Does not turn on,"Conclusion: 👋 Welcome to IT-TECH! Thank you for trusting us with your smartphone 💙🧡 🖨️ Device: Apple iPhone 12 🔢 SN: S97-N765R03363 🧾 Malfunction: Does not turn on 🔍 Diagnostic result The reason for the lack of power-on was a completely degraded battery. Other components and the phone's power supply are normal, no damage was found. 🧰 Work performed 🔋 Replacing the battery with a new one ⚙️ After installation - full activation without errors in the settings 📱 The phone turns on correctly, holds a charge and works stably 💡 The current state of the iPhone 12 is fully functional, charges, works in normal mode, the system does not give any errors. With care for your equipment 💙🧡 IT-TECH - a clinic for gadgets",Restoring the device with functional diagnostics
IT-13138,Lenovo TB128FU,Does not turn on,,"Start, restore the battery charge of the device with disassembly"
IT-13137,Samsung Galaxy S23,Hard of hearing,,Restoring the device with functional diagnostics
IT-13068,Apple 11,Display replacement,,Replacing the display (module) of a smartphone/tablet/navigator
IT-17013052,Acer ANV15-41,Cleaning,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-13073,Lenovo TB330FU,Module replacement,,Replacing the display (module) of a smartphone/tablet/navigator
IT-13114,Marshall Major 5,Does not turn on,,Headphone repair
IT-17013051,OUKITEL RT6,connector replacement,"Conclusion: 👋 *Welcome to IT-TECH!* Thank you for contacting us — we leave the official conclusion of the diagnostics and work that needs to be agreed upon. 🖨️ _Device:_ OUKITEL RT6 Tablet 🔢 _SN:_ S97-N765R03356 🧾 _Fault:_ Charging connector replacement 🔍 *Diagnostics result:* During the inspection, it was found that the charging connector has mechanical damage and requires a complete replacement. 📌 *Design features:* In this model, the connector is filled with black compound from the factory, which: makes access to the contacts more difficult; makes the dismantling process more risky; requires ungluing the entire display module to access the board. Replacement is possible, but it is a complex type of repair with an increased duration of work. 🧰 It is necessary to agree on the performance of the work: 🔧 Ungluing and re-gluing the module (the display module is glued to the factory glue). 🔌 Dismantling the compound and replacing the charging connector. ⚠️ *Possible risks:* Due to the factory filling with compound, there is a small risk of damage to the tracks or neighboring elements. The module can be delicate during the ungluing - it is performed as carefully as possible with warming up and fixing. 💡 *Conclusion:* *Replacement is really possible*, but structurally complex. It is necessary to confirm the performance of the work, after which we will proceed with the repair.","Restoration, replacement of power connector, audio, connectors, USB, video (laptop, PC, tablet laptop, etc.)"
IT-013036,Huawei ags-l09,make 3 - 2,,
IT-013043,Asus K550C,ssd+os,,Windows and software recovery
IT-013044,Lenovo Gaming 3,cooler replacement + prevention,,"Cleaning, prevention of the cooling system, replacement of phase transition thermocouples (factory) (lev VII), Original fan for the Lenovo Ideapad Gaming 3-15ACH6 laptop, Installation, replacement of the cooling (radiator, cooler) of the device"
IT-013034,Lenovo 17,Improve,,"Windows and software recovery, Replacement / installation / addition of SSD, HDD, RAM (random access memory), DVD, etc. with complete disassembly of the device"
IT-13056,Apple A1688,Not working,,
IT-013026,Samsung a02s,display,,Replacing the display (module) of a smartphone/tablet/navigator
IT-013025,Neffos tp9131a,display re-glue + connector replacement,,Restoring the device with functional diagnostics
IT-013033,Asus M533I,Cleaning,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-013023,MSI KATANA A15 AI,"diagnostics, turns off","Conclusion: 📊 *Diagnostics of MSI KATANA A15 AI laptop (Ryzen 9)* 🔢 SN: K2407N0111345 🧾 Symptom: Shuts down under load 📸 Photo analysis (HWMonitor / AIDA64 / Stress test) 🔍 *1. Temperature indicators* CPU Temperature: 102°C (maximum) Average value: ~69°C Normal range for Ryzen 9: up to 90°C under full load _Conclusion:_ the temperature is critically high, the processor has reached the thermal shutdown limit (TjMax ≈ 105°C). ➡️ It is due to overheating that the laptop automatically turns off for protection. ⚡ 2. *Power and consumption* CPU Package Power: up to 52 W For Ryzen 9 in a laptop, this is a normal level under load, but with ineffective cooling, 50 W causes instant overheating. ➡️ Possible dried thermal paste, radiator clogged with dust, or a non-working fan. 🔧 3. *Processor clock speed* Under load, the cores operate in the range of 4.4–5.0 GHz, which indicates Turbo mode without throttling until shutdown. ➡️ This means that the system does not limit the frequency in time, and the heating exceeds the safe threshold. 🧠 4. *Probable reasons for shutdown* 🔥 CPU overheating due to: dust clogging of the cooling system; old or incorrectly applied thermal paste; loose radiator fit; faulty fan or low cooler speed. ⚡ Voltage spikes / VRM degradation (CPU power) - possible with previous overheating. 🔋 Power supply overload - if the unit does not extract peak 120–150 W consumption. 🧰 *Recommendations:* Clean the cooling system from dust (fans, grille, heat pipes). Replace the thermal interface - high-quality paste (phase transition) or liquid metal (if the design allows). Check the operation of the fans via MSI Dragon Center / BIOS (the speed should be 4000+ RPM under load). Perform a stress test again after cleaning - the temperature should not exceed 85–90°C. If necessary, update the BIOS, as some MSI versions incorrectly regulate PBO / TDP. 💡 *Conclusion:* The laptop turns off due to overheating of the Ryzen 9 processor (up to 102°C). The processor itself is not known to be working, but the cooling system cannot cope with heat dissipation. After preventive maintenance (cleaning, replacing thermal paste, checking the cooler), the problem should disappear if there are no problems with the crystal. 📩 Please agree on the performance of preventive work (TOP thermal interfaces with phase transition or liquid metal) using the link below 👇 👉 https://roapp.link/RC9qyR","Cleaning, prevention of the cooling system, replacement of liquid metal and thermal interfaces (lev III)"
IT-013024,Apple 13,battery replacement,,Battery replacement with complete disassembly of the device
IT-13055,EPOS H6PRO,not enough volume,,
IT-013008,Apple A3113,Filled with sugar water,,"Restoration of electronic boards of smartphones, tablets and portable equipment after liquid spills (cleaning, removing oxidation and repairing damaged components)"
IT-013007,Asus FA507RE,Cleaning,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-013016,Dell P51F,Does not turn on,,Restoring the device with functional diagnostics
IT-013017,Black Black,"does not turn on, throws an error",,Windows and software recovery
IT-013004,Asus UM431D,The cooler is not working.,,1. 🔍 Equipment diagnostics — free of charge
IT-013012,Asus S533F,"The keyboard is partially not working, after cleaning it worked",,Cleaning the keyboard connector from dust and oxides
IT-012990,Logitech MR0106,malfunctioning,,"Restoration of electronic boards of smartphones, tablets and portable equipment after liquid spills (cleaning, removing oxidation and repairing damaged components)"
IT-013010,Samsung T510,does not turn on,,"Replacing the matrix (display, screen) with complete disassembly of the device"
IT-012995,Oppo A53,Not charging,,"Reassembly with disassembly of the device with reconnection of all components (modules, cables, etc.)"
IT-012992,Lenovo Ideapad Gaming 3,prevention + cooler,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012977,Superalure K6 Pro Max,Not charging,,Fault diagnosis with complete disassembly of the device
IT-012970,Prestigio PMT3197,The power button is lit.,,"Reassembly with disassembly of the device with reconnection of all components (modules, cables, etc.)"
IT-012975,Samsung Galaxy A33 5G,"Doesn't turn on, constant reboot",,Fault diagnosis with complete disassembly of the device
IT-012987,Lenovo 320-15IAP,upgrade,,"Windows and software recovery, cleaning, cooling system prevention, replacement of thermoelements (lev IV)"
IT-012984,Dell 5480,SSD 500 + cleaning + OS + rewrite info,,"Windows OS recovery with software package + Cleaning, laptop prevention with replacement of thermal pads"
IT-012962,Gigabyte X7EF,Does not turn on,,"Comprehensive motherboard repair, cleaning, cooling system maintenance, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012971,Asus FX516PC,Prevention,,"Cleaning, prevention of cooling system, replacement of phase transition thermocouples (factory) (lev VII), Windows and software recovery"
IT-012956,Gigabyte G5 MD,Cleaning,,"Cleaning, prevention of cooling system, replacement of thermoelements (lev V)"
IT-012948,Gigabyte G5,Hanging on the logo,,"Firmware, reprogramming CMOS (BIOS) with desoldering of the microcircuit and disassembly of the device, Cleaning, prevention of the cooling system, replacement of thermocouples with phase transition (factory) (lev VII)"
IT-012940,Apple A1419,Remove media,,
IT-012954,Dell P125F,flooded,"Conclusion: 👋 Good afternoon! Thank you for contacting IT-TECH. Below are the results of diagnosing your laptop after flooding. 🖨️ Device: Dell P125F laptop 🔢 SN: HYZGJX3 🧾 Fault: Flooded, does not turn on 🔍 Diagnostic result: ✅ After disassembly, traces of flooding of the motherboard were found - corrosion and oxides in the power supply and logic lines. ✅ Local damage to contacts and microelements was recorded on the surface of the board. ✅ A preliminary test showed that power is partially supplied, but the system does not start. ✅ To prevent further destruction, complete cleaning, flushing and restoration of damaged areas of the board are necessary. 🧰 Required work: 💧 Flushing the system board after flooding with removal of oxides 🔧 Restoration of damaged areas of the motherboard ⚙️ Soldering and checking the power supply contact areas ❄️ Cooling system prophylaxis 💠 Replacing the phase transition material (thermal interface) 🧪 Testing after restoration for stability of operation 💡 Conclusion: The malfunction is confirmed - traces of flooding and damage to the board. To fully restore the laptop, it is necessary to flush, repair the motherboard and perform cooling prophylaxis with updating the phase transition. After the work, final testing and stabilization of the power supply system will be carried out. 📩 Please agree on the implementation of restoration work at the link below 👇","Restoration of electronic boards of smartphones, tablets and portable equipment after liquid flooding (cleaning, removal of oxidation and repair of damaged components), Cleaning, prevention of cooling systems, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012941,Dell Inspiron 15,Install OS,,Windows and software recovery
IT-012952,Acer A315-55G,OS recovery + format everything,,"Windows and software recovery, installation of image processing and graphics programs (for 1 pc.)"
IT-012973,Apple A1534,OS is not installed,,
IT-012939,Dream Machines RG350,Laptop prevention,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012947,Hp Pavilion Gaming Laptop 15,"Matrix, keyboard",,Fault diagnosis with complete disassembly of the device
IT-012936,HP 17,"Wi-Fi disappeared, when trying to reinstall OS 11, it does not install, 10 is installed but then gives an error about the inability to open the program.",,"Firmware, CMOS (BIOS) reprogramming with microcircuit desoldering and device disassembly, Windows and software recovery"
IT-012966,Samsung SM-A145F/DSN,The speaker is not working properly.,,Restoring the device with functional diagnostics
IT-012935,Dell P36E,No sound,,
IT-012926,Asus FX506LH,prevention + cooler,,"Cleaning, prevention of cooling system, replacement of thermoelements (lev V)"
IT-012925,Samsung P5200,battery in -,,"Start, restore the battery charge of the device with disassembly"
IT-012933,Apple A2159,Flooded,,
IT-012920,AENO ARC0002S,Wet cleaning does not work,,
IT-012911,Pocketbook 640,memory problem,"Notes: 🖨️ Device: PocketBook 640 e-book 🔢 SN: S97-N765R03332 🧾 Malfunction: Memory problem 🔍 Diagnostic result: ✅ The power controller, flash memory, and data exchange circuits were checked. ✅ It was found that the memory chip does not respond to any read/write commands — in fact, the memory is “nailed” in hardware. ✅ Software recovery is impossible, since the controller does not respond even through the service interface. ✅ Other components (screen, power, processor part) are functional. 🧰 Work performed: 🔧 System board diagnostics and checking communication with the memory chip ⚙️ Testing the power controller and bootloader 🔋 Checking the stability of the power supply and data lines 📏 Assessment of the feasibility of repair 💡 Conclusion: The malfunction is confirmed — the memory is completely out of order. To restore operation, you must perform: 🔄 Replacing the entire motherboard with memory 💾 System firmware after installing a new board The approximate cost will depend on the availability of spare parts. The client's consent to replace the board is required before starting work. 📩 To confirm the repair, follow the link below 👇 Conclusion: 🔍 Diagnostic result: ✅ It was previously determined that the built-in memory was completely out of order - the chip did not respond to read and write commands. ✅ Software recovery or flashing is impossible due to hardware damage. ✅ To fully restore operability, the motherboard was replaced together with the memory module. ✅ After installing the new board, the device starts up successfully, reads files stably, responds to control, and charges without failures. 🧰 Work performed: 🔧 Motherboard replacement (with integrated memory) 💾 Software installation and firmware update ⚙️ Testing basic functions (screen, buttons, memory, charging) 🔋 Checking autonomy after replacement 💡 Conclusion: The e-book has been successfully restored ✅ After replacing the motherboard, the device works stably, the memory functions correctly. It is recommended to periodically create backup copies of books to prevent data loss in the future.",Motherboard replacement with complete disassembly of the device
IT-012917,Gigabyte G5,Hanging on the logo,,"Firmware, reprogramming CMOS (BIOS) with desoldering of the microcircuit and disassembly of the device, Cleaning, prevention of the cooling system, replacement of thermocouples with phase transition (factory) (lev VII)"
IT-012921,HP 250 G5,"buggy, upgrade.",,"Windows OS recovery with software package + Cleaning, laptop prevention with replacement of thermal pads"
IT-012886,Redmi Note 11s,frame/body restoration,,
IT-012904,Hp Pavilion Gaming Laptop 15,Cleaning + add RAM,,"Cleaning, prevention of cooling system, replacement of thermoelements (lev V)"
IT-012879,Dell Inspiron 15,Install OS,,"Windows and software recovery, cleaning, cooling system prevention, replacement of thermoelements (lev V)"
IT-012893,Lenovo ThinkPad X1 Carbon,matrix replacement,,"Replacing the matrix (display, screen) with complete disassembly of the device"
IT-012868,Acer AN517-54,Cleaning,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012916,AENO Asm0002,The water is not heated enough and is bubbling.,"Conclusion: 🖨️ Device: AENO ASM0002 Steam Mop 🔢 SN: ASM20142200379 🧾 Malfunction: Water does not heat up, gurgling is heard during operation 🔍 Diagnostic result: ✅ A full check of the heating, steam supply and temperature control system was carried out. ✅ The heating elements, thermal protection and temperature sensors were tested in different operating modes. ✅ The malfunction was not confirmed during the diagnostics process - steam generation is stable, the heating temperature is within the norm. ✅ No signs of overheating, water leakage or damage to the seals were detected. ✅ After restarting, the device works normally, steam is supplied evenly, heating continues within the factory parameters. 🧰 Work performed: Visual and electrical inspection of the heating element Checking thermal protection and temperature sensors Testing the operation of the steam generator under load Cleaning the tank from residual deposits 💡 Conclusion: The device is in technically sound condition. No signs of defect or unstable operation have been confirmed. No repairs have been made. The mop remains under the manufacturer's warranty. It is recommended to periodically clean the tank from scale and drain the water after each use to extend the service life of the heating element.",
IT-012866,EPOS H6PRO,left-winger,,Restoring the device with functional diagnostics
IT-012865,HP DV7,service,,"Cleaning, prevention of cooling system, replacement of thermoelements (lev I)"
IT-012871,WACOM CTL-4100MVL,to fix the whip,,
IT-012872,Hp Victus 16,prevention,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012864,Hp Pavilion Gaming Laptop 15,"The screen sometimes works, sometimes not, maybe a cable",,"Reassembly with disassembly of the device with reconnection of all components (modules, cables, etc.), Reassembly of the display module with disassembly of the device with reconnection of all components (modules, cables, etc.)"
IT-012863,Asus F541NA,-,,"Battery replacement, battery with complete disassembly of the device, Windows OS recovery with software package + Cleaning, laptop prevention with replacement of thermal interfaces"
IT-012846,Asus FX505DU,problem with wifi,,
IT-012859,Apple A2337,Matrix replacement,,"Replacing the matrix (display, screen) with complete disassembly of the device"
IT-012860,Gamemax White China (MB),After cleaning it started to hang,,"AMD Ryzen 5 5600 processor + Motherboard, Custom gaming PC assembly / assembly + disassembly of old PCs"
IT-012829,Lenovo Ideapad 5 PRO,Cleaning,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012832,Xiaomi Air 13.3,It slows down a lot,,Urgent diagnostics of device malfunction
IT-012835,Cooler Master Black,"Freezes, may turn off during operation",,"Cleaning, prevention of the cooling system, replacement of thermoelements (lev V), Replacement of the computer power supply with connection of all components"
IT-012827,HP 15s,"Didn't turn on, service",,"Cleaning, prevention of cooling system, replacement of thermoelements (lev V)"
IT-012826,Dell T3500,Does not turn on,,
IT-012823,Samsung SM-X205,Does not turn on,,
IT-012820,Xiaomi M1903F11G,afloat,"Conclusion: 🖨️ Device: Xiaomi M1903F11G Smartphone 🔢 SN: S97-N765R03300 🧾 Malfunction: Flooded with water 🔎 Diagnostic results and work performed: ✅ A full diagnostics of the device was carried out - traces of moisture were found inside the case, in particular on the motherboard and contact connections. ✅ A complete disassembly of the smartphone was performed with the disconnection of all components: board, cameras, connectors, cables and battery. ✅ The board was thoroughly washed with a special solution, removing oxidation and moisture residues from contacts and microcircuits. ✅ The components were dried and the device was completely reassembled with control of all connections. ✅ After assembly, the main components were tested. 📋 Conclusion: The smartphone was successfully restored after flooding. At the moment, the device turns on and works stably, but further observation is recommended - the effects of contact with liquid may manifest themselves over time (for example, oxidation of tracks or degradation of loops).","Restoration of electronic boards of smartphones, tablets and portable equipment after liquid spills (cleaning, removing oxidation and repairing damaged components)"
IT-012819,Lenovo ThinkBook 15,"Broken case, broken screen mounts",Notes: Repair of the device is impossible (impracticable). The device components and parts have significant wear and tear and are not suitable for further operation. The device is obsolete and must be written off. Conclusion: Repair of the device is impossible (impracticable). The device components and parts have significant wear and tear and are not suitable for further operation. The device is obsolete and must be written off.,Diagnostic result and technical condition certificate
IT-012818,Apple A2681,Keyboard not working,,"Restoration of electronic boards of smartphones, tablets and portable equipment after liquid spills (cleaning, removing oxidation and repairing damaged components)"
IT-012816,Asus FX507ZC4,siege,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012850,Xiaomi POCO F4,plywood,,Module reassembly with complete disassembly
IT-012810,Acer AN515-44,Speakers start to crackle after 5 minutes of watching the video,,
IT-012809,TOSHIBA DTB410,fell into the water,"Conclusion: 🔎 Diagnostic result: ✅ The device has come into contact with liquid, which has caused an increased risk of short circuits and corrosion of the controller's electronic components. ✅ The case has been completely disassembled, the control board and interface module have been dried, the contacts have been cleaned, and the insulation layer has been restored. ✅ The integrity of the main memory unit and the stability of the power supply via the USB interface have been checked. ⚙️ Result: 💾 The device has been successfully restored after flooding, the connection is stable, the disk is correctly detected by the system. 🔋 It is recommended to immediately create a backup copy of the data, since after contact with water, gradual oxidation of microcontacts is possible, which may affect the reliability of operation in the future.","Restoration of electronic boards of smartphones, tablets and portable equipment after liquid spills (cleaning, removing oxidation and repairing damaged components)"
IT-012836,ASUS TUF516P,Cleaning,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012800,Redmi M2006C3LC,Not charging,,"Replacement of connectors (power, audio, USB) of a phone, tablet"
IT-012828,Samsung Galaxy A32,Drowned,,
IT-012795,Asus E1504FA,Gives a blue screen,,
IT-012824,Vinga Black,"It freezes and doesn't respond to anything, it gives a blue screen",,"Cleaning, prevention of cooling system, replacement of thermoelements (lev V)"
IT-012790,2E Gaming Black,Runs slowly and gives errors,,"Windows OS recovery with software package + Cleaning, laptop prevention with replacement of thermal pads"
IT-012789,Lenovo Tab P11 Pro,Does not turn on,,
IT-012787,Acer ANV16-41,does not turn on,,
IT-012778,Acer AN517-51,Install Revit and Autodesk Inventor,,"Installation of programs for image processing, graphics (for 1 pc.)"
IT-012772,Marshall Major 4,intercalary cable replacement,"Conclusion: 🔧 Work performed: ✅ The inter-cup cable was replaced — the housing was disassembled, the damaged wire was dismantled, and a new high-quality signal cable was installed. ✅ The contacts were soldered, observing the polarity of the channels (left/right). ✅ The signal symmetry was checked and the sound quality was tested after the repair. ⚙️ Result: 🎵 The headphones are completely restored — both channels work evenly, without distortion and noise. 💡 It is recommended to avoid excessive cable tension and twisting of the cups to prevent repeated damage to the wire.",Restoring the device with functional diagnostics
IT-012764,Acer AN515-44,Speakers start to crackle after a minute of watching video + 8 GB RAM + phase shift,,"Cleaning, prevention of the cooling system, replacement of phase transition thermoelements (factory) (lev VII), RAM DDR4 8GB 3200MHz CL22 SODIMM"
IT-012760,Samsung NP940XFG,Matrix replacement,,Fault diagnosis with complete disassembly of the device
IT-012842,Apple 10,Battery + re-glue module,,Restoring the device with functional diagnostics
IT-012759,AENO AVS0001,Does not stop vacuuming and does not automatically seal,,
IT-012843,Hp 15-ef0023dx,cooler,"Conclusion: 🖨️ Device: HP 15-ef0023dx laptop 🔢 SN: 5CD016GB4H 🧾 Malfunction: Incorrect operation of the cooling system (cooler) 🔎 Diagnostic results and work performed: ✅ A full diagnosis of the cooling system was carried out, during which it was found that the cooler was not rotating properly - the rotation of the blades was blocked due to mechanical deformation of the fan housing or the ingress of a foreign element. ✅ The cooler was replaced with a new original analogue that fully meets the technical specifications of the device. ✅ During the work, it was found that the thermal interfaces had lost their effectiveness, so the thermal paste was completely replaced with highly conductive materials to ensure proper heat dissipation. ✅ After assembly, the laptop was tested - the temperature of the processor and graphics core is within normal limits, the cooler operates quietly and stably. 📋 Conclusion: The cooling system has been successfully restored. At the moment, the laptop is working stably, without overheating or extraneous noise, and the new cooler provides optimal temperature conditions. It is recommended to carry out preventive cleaning once every 6–12 months to avoid similar malfunctions in the future.",
IT-012841,Samsung SM-S901B/DS,The battery swelled,,
IT-012833,Marshall Major 4,The left one doesn't work.,,
IT-012807,HP 14,Doesn't turn on without power when it goes to sleep,,
IT-012806,Acer A715-76G,+,,
IT-012798,Apple A2159,Cleaning,,
IT-012792,Xiaomi 220233L2C,Underscarf,,
IT-012750,Acer AN515-44,Speakers start to crackle after a minute of watching video + 8 GB RAM + phase shift,,
IT-012744,Acer A715-75G,"prevention, order a 1TB Kingston SSD, clone + increase in size, + pocket.",,
IT-012736,Asus ROG Phone 5,wifi is not working,,
IT-012733,Hp cx0812no,battery - lasts a long time,,
IT-012731,Gigabyte(mb) Black,win 10,,
IT-012730,Asus G531gu,"Cleaning, cooler replacement, SSD",,
IT-012726,Dell P36E,"Something hummed, a manly cooler",,
IT-012723,MSI Thin 15 B13VE,"archicad 28, scetchup 21, 5d render for scetchup 3dmax, 3d max, revit, viber, telegram,",,
IT-012711,Golden Field Black,SSD and OS replacement,,
IT-012721,Samsung SM-M336B/DS,module orig,,
IT-012700,Acer SFE16-42-R61V,Cleaning,,"Boarding of a gyro scooter, gyro board (electric vehicle) wheel with disassembly of the device"
IT-012719,Acer AN515-57,Cleaning,,
IT-012716,Xiaomi Redmi Note 12 Pro 4G,Constant reboot and it is advisable to save data,"Conclusion: 🔎 Diagnostic result: ✅ During the check, it was found that the device is in a state of constant cyclic reboot (bootloop). ✅ The smartphone enters emergency (alert) mode, due to which normal flashing is impossible - the system does not respond to standard recovery tools (Fastboot, Recovery). ✅ The only technically possible recovery method is flashing through the EDL (Emergency Download Mode) engineering mode, however, if the device itself enters this mode, this indicates a deep hardware malfunction - usually in the memory controller or central processor (SoC). ✅ In this case, an attempt to flash through EDL can lead to permanent data loss or complete board failure. ⚙️ Conclusion: The device has a serious hardware malfunction of the motherboard (probably the memory controller or power supply). Repair is economically inexpedient, since recovery will require deep reballing or replacement of the system board. Unfortunately, data recovery is impossible without full access to the internal memory, which is blocked by a hardware failure. 💡 Recommendation: If the data is of high value, it makes sense to contact a specialized center for microscopic NAND memory recovery (data recovery), but this is an expensive and lengthy process, with a low success rate in cases of SoC hardware failures.",Fault diagnosis without disassembling the device
IT-012699,Lenovo ThinkPad T410s,Cleaning,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012695,Hp Pavilion Gaming Laptop 17,Laptop prevention + activation,,"Cleaning, prevention of the cooling system, replacement of phase transition thermocouples (factory) (lev VII), Activation of Windows OS"
IT-012693,Dell g15,There the laptop started to heat up. It has now started to be used for delta. I didn't even see what kind of hardware it was. I have to say how much it will cost to increase the RAM and SSD,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012688,Asus(mb) Black,"The OS does not turn on, save data",,Windows and software recovery
IT-012679,Xiaomi Redmi Pad Pro 5G,Module,,Replacing the display (module) of a smartphone/tablet/navigator
IT-012673,Asus FX506HF,Keyboard replacement,,"Replacement of modular keyboard with complete disassembly of the device, cleaning, prevention of cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012670,Msi BLUE,Break disks,,Partitioning HDD into local disks
IT-012718,Xbox 1914,The problem with typing,,
IT-012712,Hp 15s-fq2679nw,there is a mistake,,Restoring the device with functional diagnostics
IT-012717,Acer Nitro V15,"When launching some games, it gives a blue screen and errors.",,
IT-012710,Sempron black,win10,,Windows and software recovery
IT-012668,Asus M513i,Cleaning,,"Cleaning, prevention of cooling system, replacement of thermoelements (lev V)"
IT-012707,Acer V5-573G,Cleaning,,"Cleaning, prevention of cooling system, replacement of thermoelements (lev I)"
IT-012671,Acer A515-58M,Cleaning,,"Cleaning, prevention of cooling system, replacement of thermoelements (lev V)"
IT-012705,Lenovo Y540-17IRH,Cleaning,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012704,Acer 7750ZG,Hanging,,
IT-012661,Acer ANV15-41,no one is asked,"Conclusion: 🔎 The following has been established: ✅ The device is not subject to warranty repair in Ukraine, since it was purchased abroad. ✅ Warranty service is possible only if the owner is a US citizen and has an appropriate passport (under the international support program). ✅ The cause of the malfunction is damage to the hub, which is integrated into the central processor (CPU). ✅ To fully restore performance, the processor must be replaced, but such processors are currently not available for sale. ✅ They may probably appear on the market in 6–12 months, but it is a matter of time and availability. ✅ As an alternative, the entire motherboard can be replaced, but its cost is quite high, and the feasibility of such a repair should be considered separately. ⚠️ At the moment, the device is returned without repair, since none of the replacement options are available yet. 👉 Recommendation: wait for the necessary processors to appear or, if the speed of recovery is critical, consider replacing the entire motherboard as the only real option.",
IT-012660,Gigabyte RC55,Cleaning + SSD,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-012656,Asus R540SC,Improve,"Conclusion: 🔎 The inspection revealed: ✅ It is impossible to add RAM constructively - there are no free slots provided. ✅ The main performance improvement was implemented by replacing the drive and full preventive maintenance. 📌 Work performed: ✅ Complete cleaning of the cooling system from dust and dirt ✅ Replacement of thermal interfaces (thermal paste and thermal pads) ✅ Replacement of HDD with a modern SSD drive to significantly speed up work ✅ Installation of the operating system and all necessary software ✅ Control testing of performance after modernization ⚙️ As a result: the laptop works much faster, the cooling is updated, the system is clean and ready for further stable operation. 💡 Although increasing RAM is impossible, thanks to installing the SSD and preventive maintenance, the device received a noticeable increase in performance and reliability.","Windows OS recovery with software package + Cleaning, laptop prevention with replacement of thermal pads"
IT-012654,Asus G531GU,Prevention,,"Cleaning, prevention of the cooling system, replacement of phase transition thermocouples (factory) (lev VII), Replacement, restoration, repair of laptop hinges"
IT-012648,MSI Bravo 15,Gives a blue screen,"Conclusion: 🔎 What was found out: ✅ The primary cause is a faulty native SSD: the drive is not read correctly, which provokes OS crashes. ✅ For verification, a test service SSD with OS and software was installed - the system worked stably, the ""blue screen"" did not recur. ✅ The probability of other hidden causes is low, but a final conclusion is possible only after replacing the main SSD and full tests. 🛠️ What needs to be done: ✅ Replacing the main SSD with a new one (NVMe recommended; volume - at your choice). ✅ Clean installation/transfer of OS and software to a new SSD. ✅ Post-repair stress tests (memory/drivers/BIOS update if necessary) to confirm stability. 📂 Optional: ✅ Attempt to read/copy data from the old SSD (if it is still partially accessible). ✅ If the media is not readable at all - in-depth data recovery in the laboratory is possible (discussed separately). ⚠️ Important: even if you manage to temporarily ""revive"" an old SSD, further use is risky - we recommend replacing it.",Device fault diagnosis
IT-012653,Dell Inspiron 17 7000,not loading,,
IT-012642,Realme C53,Module replacement,,Replacing the display (module) of a smartphone/tablet/navigator
IT-012698,AENO AEK0001S,The degrees button is broken.,,
IT-012640,Hp g6-1000er,put the disc in your pocket,,
IT-012667,Dell Precision 7750,"adobe incopy lightroom indesign premier aftereffect photoshot illustrator ""substuntpaint""",,"Installation of programs for image processing, graphics (for 1 pc.)"
IT-012633,Samsung SM-A145F/DSN,"Speakerphone, can't hear",,Restoring the device with functional diagnostics
IT-012665,Industrial Tablet PC F6APL,Filled with beer,"Conclusion: 🔎 During the inspection, it was established: ✅ The processor remained operational and responds to diagnostic tests. ✅ However, the wiring harness of the board responsible for starting the device is damaged. ✅ Due to corrosion and the absence of working power lines, the PC does not start. ✅ To restore, circuits, donors or new components are required, but they are not available for sale and are not available for order. ⚠️ In this regard, restoring the device is technically impossible and economically inexpedient. 👉 The device is returned without repair.",
IT-012629,Asus X509UB,Improve and save data,,"Windows OS recovery with software package + Cleaning, laptop prevention with replacement of thermal pads, Data recovery from one HDD to another HDD"
IT-012630,Asus X556U,Improve RAM + SSD + OS,,Windows and software recovery
